the	-T	-T	1	root	-LT, -TD, -TS, T-T			brief
be	-B	-B	2	root				brief
am	APL	AM	2	conjugation	*PL			
are	R	R	2	conjugation	-R			brief
aren't	R-PBT	R-NT	2	conjugation	R-PBLT			brief
been	PW-PB	B-N	2	conjugation	PW-B, PW-FPB			brief
is	S	S	2	conjugation				brief
isn't	S-PBT	S-NT	2	conjugation	S-PT, S-PBLT			brief
was	WA	WA	2	conjugation	WAS, WAZ, WUZ, KWAS, WAGS			brief
wasn't	WAEPBT	WAENT	2	conjugation	WUPBT, WAEPT, WAEPBS, WAEPBLT, WASZ/-PBTD			brief
were	WR	WR	2	conjugation	-RP			brief
weren't	WR-PBT	WR-NT	2	conjugation	W-RPBT, WREPBT, WR-PBLT, WR-RPBLTS			brief
and	STK	SD	3	root	ABD, APD, SKP,&nbsp;-PBD, 57BD			brief
of	-F	-F	4	root	*F			brief
to	O	O	5	root	TO, TPO	in order to make to easier to write, it's just O		brief
a	AEU	AA	6	root	A/AEU, A*/SP-S, AEU/AEU			brief
in	TPH	N	7	root		The heart beats in the left half of your body		brief
have	SR	V	8	root	SKR			brief
had	H	H	8	conjugation	HAD			brief
hadn't	H-PBT	H-NT	8	conjugation	HAPBT			
has	HAS	HAS	8	conjugation	HAZ, HAGS, HASZ, SHAS			
hasn't	HAEPBT	HAENT	8	conjugation				brief
it	T	T	9	root	EUT			brief
you	U	U	10	root				brief
he	E	E	11	root	HE			brief
for	TP-R	F-R	12	root	230R, TPOR, TPO*R, TPORB			brief
they	THE	THE	13	root	24E, A/THE			brief
not	TPHOT	NOT	14	root	TPOT, PHOT, TPHOLT, TPHOPT, TPHOTD			
that	THA	THA	15	root	HA, TA, THAO, THRA, TPHA			brief
we	WE	WE	16	root	WAOE	We don't need a brief for we		
on	OPB	ON	17	root	OB			
with	W	W	18	root				brief
this	TH	TH	19	root	TH-RBGS			brief
I	EU	I	20	root	1-R			brief
do	TKO	DO	21	root		Do we need a brief for do? I don't think so		
did	TK	D	21	conjugation	TKEUD, TKPEUD			brief
didn't	TK-PBT	D-NT	21	conjugation	TKEUPT, TK-PBTS, TKAEUPT, TKEUPBT, TKAEUPBT			brief
doing	TKAOG	DOOG	21	conjugation	TK*G, TKO*G, TKO*FG, TKO/-G, TKHAO*G			brief
don't	TKOEPBT	DOENT	21	conjugation	TOEPBT, TKOEBT, TKOPBTS, TKOEPBLT, TKOEPBTS	It doesn't (DOENT) make sense that don't is written this way		
done	TKOPB	DON	21	conjugation	TKOB, TKOEPB			
as	AS	AS	22	root	AZ, ASZ, A/AZ			
at	AT	AT	23	root	ATD, ATS, A/AT			
she	SHE	SHE	24	root	SHAOE, SHAO*E, SHRAOE			
but	PWU	BU	25	root	WUT, PWUT, PWHUT, PWULT, PWUTD			brief
from	TPR	FR	26	root	PR, TPHR, TPWR, TPWHR, TPROPL			brief
by	PWEU	BI	27	root				brief
will	HR	L	28	root	H/HR, WEUL			brief
or	OR	OR	29	root	ORB			
say	SAEU	SAA	30	root				
go	TKPW	G	31	root	TKW, TPW, TKPWO, TKPWOE			brief
gone	TKPWOPB	GON	31	conjugation	TKWOPB, TKPWOEPB			
went	WEPBT	WENT	31	conjugation	WEBLT, WEBLTS, WEFPBT, WEPBLT, WEPBTS			
so	SO	SO	32	root	SAO			
all	AUL	AUL	33	root	A/UL, HRAUL	I can see all the AULs flying in the night sky		
if	TP	F	34	root				brief
one	WUPB	WUN	35	root	WUB, WUP	WUN it be awesome to be the one?		
would	WO	WO	36	root	WOULD			brief
about	PW	B	37	root	P, PWH			brief
can	K	K	38	root	KAPB			brief
which	WEU	WI	39	root	WHEUFP			brief
there	TH-R	TH-R	40	root	THR, THR*			brief
know	TPHOE	NOE	41	root	TPHO*E			
knew	TPHAOU	NUU	41	conjugation	TKPHAOU			
knows	TPHOEZ	NOEZ	41	conjugation	TPHO*ES, TPHOE/-S			
more	PHOR	MOR	42	root	PHORP			
get	TKPW-T	G-T	43	root	KPWET, TKPET, TKWET, TPWET, TKPWET	I'd totally get the new Ford G-T		brief
gets	TKPWETS	GETS	43	conjugation	TKPWETSZ, TKPWETS/-S		G-TS also works but doesn't have an entry	missing
getting	TKPWEGT	GEGT	43	conjugation	TKPEGT, TKWET/-G, TKPWET/-G, TKPWELT/-G		G-GT also works but doesn't have an entry	brief
got	TKPWOT	GOT	43	conjugation	KPWOT, TKPOT, TKWOT, TPWOT, TKPWOLT			
gotten	TKPW*PB	G*N	43	conjugation	TKPWO*PB, TKPWOT/-PB, TKPWOT/*EPB			
who	HO	HO	44	root	WHO, KWHO, WHRO			brief
like	HRAOEUBG	LIIK	45	root	HRAOEUB, PHRAOEUBG			
liking	HRAO*EUG	L*IIG	45	conjugation	HRAOEUBG/-G	I would be lying if I'd say that we don't need an asterisk for liking		brief
